angulo,theta,phi
322,-16.8819076750023,-22.1633683923226
323,-16.963820823601,-22.2434375957588
324,-17.0395682970927,-22.3627707781517
325,-17.1066925772366,-22.5202272936838
326,-17.1631397621644,-22.714928229752
327,-17.2073169412769,-22.9462318551236
328,-17.2381267778722,-23.2137157422978
329,-17.2549748541202,-23.5171643856017
330,-17.2577486561447,-23.8565614544086
331,-17.2467706403197,-24.2320860484851
332,-17.2227308869697,-24.6441124818102
333,-17.1866068295549,-25.0932132240174
334,-17.1395781759021,-25.580164677864
335,-17.0829444950089,-26.1059554608085
336,-17.0180513789147,-26.6717967716211
337,-16.9462290732625,-27.2791342257489
338,-16.868745443014,-27.9296601779826
339,-16.7867734172629,-28.6253249200196
340,-16.7013717997685,-29.3683440797727
341,-16.6134775648695,-30.161197782844
342,-16.5239074170009,-31.0066141968975
343,-16.4333663689942,-31.9075251669258
344,-16.3424612770963,-32.8669733835036
345,-16.2517175629302,-33.8879365111921
346,-16.1615976833349,-34.9730097845825
347,-16.0725202322058,-36.1238476575387
348,-15.9848788489114,-37.3401956207331
349,-15.8990603552168,-38.6182289062827
350,-15.8154617459065,-39.9477418423345
351,-15.7345058215109,-41.3075296656765
352,-15.6566553807564,-42.6582921977063
353,-15.5824259918213,-43.9333543993889
354,-15.5123974405634,-45.0312510778756
355,-15.4472240147334,-45.8219323065851
356,-15.3876438285658,-46.181839472388
357,-15.3344874234693,-46.0503749979636
358,-15.2886858979064,-45.4607451194917
359,-15.2512788214499,-44.51336531513
360,-15.2234221708419,-43.3243977945383
